[2025-01-20T20:51:13.237+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-20T20:51:13.256+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events scheduled__2025-01-19T00:00:00+00:00 [queued]>
[2025-01-20T20:51:13.263+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events scheduled__2025-01-19T00:00:00+00:00 [queued]>
[2025-01-20T20:51:13.264+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2025-01-20T20:51:13.277+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_events> on 2025-01-19 00:00:00+00:00
[2025-01-20T20:51:13.286+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=231) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-20T20:51:13.287+0000] {standard_task_runner.py:72} INFO - Started process 233 to run task
[2025-01-20T20:51:13.288+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'spaceflight_data_ingest_v2', 'fetch_events', 'scheduled__2025-01-19T00:00:00+00:00', '--job-id', '297', '--raw', '--subdir', 'DAGS_FOLDER/spaceflight_data_ingest_v2.py', '--cfg-path', '/tmp/tmptlxp6rvx']
[2025-01-20T20:51:13.289+0000] {standard_task_runner.py:105} INFO - Job 297: Subtask fetch_events
[2025-01-20T20:51:13.334+0000] {task_command.py:467} INFO - Running <TaskInstance: spaceflight_data_ingest_v2.fetch_events scheduled__2025-01-19T00:00:00+00:00 [running]> on host 59ff16f1d4fb
[2025-01-20T20:51:13.605+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spaceflight_data_ingest_v2' AIRFLOW_CTX_TASK_ID='fetch_events' AIRFLOW_CTX_EXECUTION_DATE='2025-01-19T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-01-19T00:00:00+00:00'
[2025-01-20T20:51:13.606+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-01-20T20:51:13.606+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-01-20T20:51:13.606+0000] {logging_mixin.py:190} INFO - Current task name:fetch_events state:running start_date:2025-01-20 20:51:13.256935+00:00
[2025-01-20T20:51:13.606+0000] {logging_mixin.py:190} INFO - Dag name:spaceflight_data_ingest_v2 and current dag run status:running
[2025-01-20T20:51:13.607+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-20T20:51:14.007+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T20:52:09.731+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T20:53:05.441+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T20:54:01.158+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T20:54:56.863+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T20:55:52.416+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T20:56:48.201+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T20:57:43.753+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T20:58:39.436+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T20:59:35.137+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T21:00:30.833+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T21:01:26.535+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-20T21:02:22.332+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
