[2025-01-19T04:12:45.975+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-19T04:12:45.996+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events manual__2025-01-17T22:38:43.399336+00:00 [queued]>
[2025-01-19T04:12:46.004+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events manual__2025-01-17T22:38:43.399336+00:00 [queued]>
[2025-01-19T04:12:46.004+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2025-01-19T04:12:46.192+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_events> on 2025-01-17 22:38:43.399336+00:00
[2025-01-19T04:12:46.201+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=194) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-19T04:12:46.202+0000] {standard_task_runner.py:72} INFO - Started process 196 to run task
[2025-01-19T04:12:46.203+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'spaceflight_data_ingest_v2', 'fetch_events', 'manual__2025-01-17T22:38:43.399336+00:00', '--job-id', '139', '--raw', '--subdir', 'DAGS_FOLDER/spaceflight_data_ingest_v2.py', '--cfg-path', '/tmp/tmphe66m8fi']
[2025-01-19T04:12:46.204+0000] {standard_task_runner.py:105} INFO - Job 139: Subtask fetch_events
[2025-01-19T04:12:46.253+0000] {task_command.py:467} INFO - Running <TaskInstance: spaceflight_data_ingest_v2.fetch_events manual__2025-01-17T22:38:43.399336+00:00 [running]> on host 59ff16f1d4fb
[2025-01-19T04:12:46.346+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spaceflight_data_ingest_v2' AIRFLOW_CTX_TASK_ID='fetch_events' AIRFLOW_CTX_EXECUTION_DATE='2025-01-17T22:38:43.399336+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-17T22:38:43.399336+00:00'
[2025-01-19T04:12:46.348+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-01-19T04:12:46.348+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-01-19T04:12:46.348+0000] {logging_mixin.py:190} INFO - Current task name:fetch_events state:running start_date:2025-01-19 04:12:45.997149+00:00
[2025-01-19T04:12:46.348+0000] {logging_mixin.py:190} INFO - Dag name:spaceflight_data_ingest_v2 and current dag run status:running
[2025-01-19T04:12:46.349+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-19T04:12:46.715+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:13:43.032+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:14:39.519+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:15:35.959+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:16:32.584+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:17:28.726+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:18:24.926+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:19:21.276+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:20:17.508+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:21:13.063+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:22:09.635+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:23:05.686+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:24:01.698+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:24:57.629+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
