[2025-01-21T00:01:37.582+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-21T00:01:37.599+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events scheduled__2025-01-20T00:00:00+00:00 [queued]>
[2025-01-21T00:01:37.606+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events scheduled__2025-01-20T00:00:00+00:00 [queued]>
[2025-01-21T00:01:37.607+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-01-21T00:01:37.620+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_events> on 2025-01-20 00:00:00+00:00
[2025-01-21T00:01:37.629+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3024) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-21T00:01:37.631+0000] {standard_task_runner.py:72} INFO - Started process 3026 to run task
[2025-01-21T00:01:37.631+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'spaceflight_data_ingest_v2', 'fetch_events', 'scheduled__2025-01-20T00:00:00+00:00', '--job-id', '320', '--raw', '--subdir', 'DAGS_FOLDER/spaceflight_data_ingest_v2.py', '--cfg-path', '/tmp/tmppgb4uy13']
[2025-01-21T00:01:37.632+0000] {standard_task_runner.py:105} INFO - Job 320: Subtask fetch_events
[2025-01-21T00:01:37.678+0000] {task_command.py:467} INFO - Running <TaskInstance: spaceflight_data_ingest_v2.fetch_events scheduled__2025-01-20T00:00:00+00:00 [running]> on host 59ff16f1d4fb
[2025-01-21T00:01:38.001+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spaceflight_data_ingest_v2' AIRFLOW_CTX_TASK_ID='fetch_events' AIRFLOW_CTX_EXECUTION_DATE='2025-01-20T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-01-20T00:00:00+00:00'
[2025-01-21T00:01:38.002+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-01-21T00:01:38.002+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-01-21T00:01:38.003+0000] {logging_mixin.py:190} INFO - Current task name:fetch_events state:running start_date:2025-01-21 00:01:37.600132+00:00
[2025-01-21T00:01:38.003+0000] {logging_mixin.py:190} INFO - Dag name:spaceflight_data_ingest_v2 and current dag run status:running
[2025-01-21T00:01:38.003+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-21T00:01:38.333+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
