[2025-01-19T04:13:16.287+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-19T04:13:16.305+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events manual__2025-01-17T22:14:24.591389+00:00 [queued]>
[2025-01-19T04:13:16.314+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events manual__2025-01-17T22:14:24.591389+00:00 [queued]>
[2025-01-19T04:13:16.314+0000] {taskinstance.py:2866} INFO - Starting attempt 4 of 4
[2025-01-19T04:13:16.330+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_events> on 2025-01-17 22:14:24.591389+00:00
[2025-01-19T04:13:16.341+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=201) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-19T04:13:16.343+0000] {standard_task_runner.py:72} INFO - Started process 213 to run task
[2025-01-19T04:13:16.343+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'spaceflight_data_ingest_v2', 'fetch_events', 'manual__2025-01-17T22:14:24.591389+00:00', '--job-id', '141', '--raw', '--subdir', 'DAGS_FOLDER/spaceflight_data_ingest_v2.py', '--cfg-path', '/tmp/tmpumpx75uu']
[2025-01-19T04:13:16.344+0000] {standard_task_runner.py:105} INFO - Job 141: Subtask fetch_events
[2025-01-19T04:13:16.399+0000] {task_command.py:467} INFO - Running <TaskInstance: spaceflight_data_ingest_v2.fetch_events manual__2025-01-17T22:14:24.591389+00:00 [running]> on host 59ff16f1d4fb
[2025-01-19T04:13:16.754+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spaceflight_data_ingest_v2' AIRFLOW_CTX_TASK_ID='fetch_events' AIRFLOW_CTX_EXECUTION_DATE='2025-01-17T22:14:24.591389+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-17T22:14:24.591389+00:00'
[2025-01-19T04:13:16.755+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-01-19T04:13:16.756+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-01-19T04:13:16.756+0000] {logging_mixin.py:190} INFO - Current task name:fetch_events state:running start_date:2025-01-19 04:13:16.305739+00:00
[2025-01-19T04:13:16.756+0000] {logging_mixin.py:190} INFO - Dag name:spaceflight_data_ingest_v2 and current dag run status:running
[2025-01-19T04:13:16.756+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-19T04:13:17.540+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:14:13.791+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:15:10.191+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:16:06.684+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:17:03.008+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:17:59.351+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:18:55.647+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:19:51.943+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:20:47.873+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
[2025-01-19T04:21:43.789+0000] {spaceflight_data_ingest_v2.py:74} ERROR - Error al obtener events: 404
