[2025-01-17T22:52:12.922+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T22:53:07.797+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T22:54:02.583+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T22:54:57.335+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T22:55:52.133+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T22:56:46.907+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T22:57:41.772+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T22:58:36.486+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T22:59:31.285+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:00:25.993+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:01:20.775+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:02:15.564+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:03:10.352+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:04:05.075+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:04:59.780+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:05:54.497+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:06:49.219+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:07:43.924+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:08:38.871+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:09:34.566+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:10:29.293+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:11:24.076+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:12:18.779+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:13:13.482+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:14:08.245+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:15:02.967+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:15:57.951+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:16:52.751+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:17:47.447+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:18:42.177+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:19:36.883+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:20:31.609+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:21:23.686+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:22:18.463+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:23:13.248+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:24:07.964+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:25:02.686+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:25:57.491+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:26:52.288+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:27:46.992+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:28:41.702+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:29:36.485+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:30:31.271+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:31:25.993+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:32:20.700+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:33:15.619+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:34:10.327+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:35:05.088+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:35:59.801+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
[2025-01-17T23:36:54.576+0000] {spaceflight_data_ingest_v2.py:77} ERROR - Error al obtener events: 404
